topic,currentName,proposedName,foundInFile,foundAtLine,isDuplicate,duplicateOfFileAndLine
blockers,(none),listUnblockedTaskNumbers,(new),,no,
blockers,(none),removeClosedBlockers,scripts/unblockDependents.ts,17,no,
groups,declaredFiles,readDeclaredFiles,scripts/taskGroups.ts,13,yes,scripts/prepareTasks.ts:78
groups,declaredFiles,readDeclaredFiles,scripts/prepareTasks.ts,78,yes,scripts/taskGroups.ts:13
groups,findRoot,findUnionRoot,scripts/taskGroups.ts,17,yes,scripts/canonicalTaskGroups.ts:24
groups,findRoot,findUnionRoot,scripts/canonicalTaskGroups.ts,24,yes,scripts/taskGroups.ts:17
groups,union,mergeUnionSets,scripts/taskGroups.ts,23,yes,scripts/canonicalTaskGroups.ts:30
groups,union,mergeUnionSets,scripts/canonicalTaskGroups.ts,30,yes,scripts/taskGroups.ts:23
groups,groupTasksByFileOverlap,groupTasksByFileOverlap,scripts/taskGroups.ts,29,no,
groups,keyString,formatKeyString,scripts/canonicalTaskGroups.ts,8,no,
groups,canonicalKeysForTask,computeCanonicalKeysForTask,scripts/canonicalTaskGroups.ts,12,no,
groups,buildCanonicalTaskGroups,buildCanonicalTaskGroups,scripts/canonicalTaskGroups.ts,36,no,
stats,dayNumber,computeDayNumber,scripts/taskStats.ts,22,no,
stats,countClosedWithin,countClosedWithin,scripts/taskStats.ts,29,no,
stats,findBusiestDay,findBusiestDay,scripts/taskStats.ts,37,no,
stats,rankContendedFiles,rankContendedFiles,scripts/taskStats.ts,47,no,
stats,computeTaskStats,computeTaskStats,scripts/taskStats.ts,59,no,
stats,formatTaskStats,formatTaskStats,scripts/taskStats.ts,84,no,
metrics,runDurationMs,computeRunDurationMs,scripts/tackleMetrics.ts,24,no,
metrics,computeArgumentsHash,computeArgumentsHash,scripts/tackleMetrics.ts,31,no,
metrics,appendRunMetricsRecord,appendRunMetricsRecord,scripts/tackleMetrics.ts,35,no,
notes,listDefaultNoteFiles,findDefaultNoteFiles,scripts/extractOpenSections.ts,12,no,
notes,printOpenSections,formatOpenSections,scripts/extractOpenSections.ts,18,no,
git,git,runGitCommand,scripts/repositoryBranches.ts,10,yes,scripts/repositoryIntegration.ts:23;scripts/operationBranches.ts:8;scripts/occurrenceTreeDelta.ts:53;scripts/runFinalizer.ts:48;scripts/runConsolidation.ts:55;scripts/recoveryRefs.ts:11;scripts/mergeTaskWorktrees.ts:29
git,git,runGitCommand,scripts/repositoryIntegration.ts,23,yes,scripts/repositoryBranches.ts:10
git,git,runGitCommand,scripts/operationBranches.ts,8,yes,scripts/repositoryBranches.ts:10
git,runGit,runGitCommand,scripts/occurrenceTreeDelta.ts,53,yes,scripts/repositoryBranches.ts:10
git,git,runGitCommand,scripts/runFinalizer.ts,48,yes,scripts/repositoryBranches.ts:10
git,runGit,runGitCommand,scripts/runConsolidation.ts,55,yes,scripts/repositoryBranches.ts:10
git,git,runGitCommand,scripts/recoveryRefs.ts,11,yes,scripts/repositoryBranches.ts:10
git,git,runGitCommand,scripts/mergeTaskWorktrees.ts,29,yes,scripts/repositoryBranches.ts:10
git,gitErrorText,formatGitErrorText,scripts/mergeTaskWorktrees.ts,33,no,
git,currentBranchName,readCurrentBranchName,scripts/repositoryBranches.ts,14,no,
git,submodulePaths,listSubmodulePaths,scripts/repositoryBranches.ts,18,no,
git,isDetachedHead,checkDetachedHead,scripts/operationBranches.ts,12,no,
git,resolveGitDir,resolveGitDir,scripts/recoveryRefs.ts,19,no,
git,buildIncludedPaths,buildPathSnapshot,scripts/occurrenceTreeDelta.ts,91,yes,scripts/ownershipSnapshots.ts:17
git,buildSnapshot,buildPathSnapshot,scripts/occurrenceTreeDelta.ts,109,yes,scripts/ownershipSnapshots.ts:45
git,listCandidatePaths,buildPathSnapshot,scripts/ownershipSnapshots.ts,17,yes,scripts/occurrenceTreeDelta.ts:91
git,readPathState,readPathState,scripts/ownershipSnapshots.ts,30,yes,scripts/occurrenceTreeDelta.ts:109
git,takeSnapshot,buildPathSnapshot,scripts/ownershipSnapshots.ts,45,yes,scripts/occurrenceTreeDelta.ts:109
repository,readRootBranchAndOid,readRootBranchAndOid,scripts/repositoryDiscovery.ts,28,no,
repository,resolveOccurrenceBaseBranch,resolveOccurrenceBaseBranch,scripts/repositoryDiscovery.ts,41,no,
repository,discoverOccurrenceAndDescendants,discoverOccurrenceAndDescendants,scripts/repositoryDiscovery.ts,63,no,
repository,discoverRepositoryTree,discoverRepositoryTree,scripts/repositoryDiscovery.ts,139,no,
repository,buildOccurrenceIndex,buildOccurrenceIndex,scripts/repositoryGraph.ts,4,no,
repository,getChildren,findChildOccurrences,scripts/repositoryGraph.ts,8,no,
repository,getAncestorChain,findAncestorChain,scripts/repositoryGraph.ts,21,no,
repository,getDeepestFirstOrder,sortDeepestFirst,scripts/repositoryGraph.ts,37,no,
repository,isWithinCheckout,checkPathWithinCheckout,scripts/repositoryGraph.ts,44,no,
repository,getOwningOccurrence,findOwningOccurrence,scripts/repositoryGraph.ts,50,no,
repository,getPathWithinRepository,resolvePathWithinRepository,scripts/repositoryGraph.ts,76,no,
repository,readRepositoryManifest,readRepositoryManifest,scripts/repositoryManifest.ts,28,no,
repository,writeRepositoryManifest,writeRepositoryManifest,scripts/repositoryManifest.ts,32,no,
repository,depthFromParentChain,computeDepthFromParentChain,scripts/repositoryManifest.ts,39,no,
repository,validateRepositoryManifest,validateRepositoryManifest,scripts/repositoryManifest.ts,57,no,
repository,checkLegacyManifest,checkLegacyManifest,scripts/legacyManifest.ts,23,no,
identity,resolveRelativeSubmoduleUrl,resolveRelativeSubmoduleUrl,scripts/submoduleUrlIdentity.ts,21,no,
identity,resolveSubmoduleUrl,resolveSubmoduleUrl,scripts/submoduleUrlIdentity.ts,51,no,
identity,normalizeRepositoryIdentity,normalizeRepositoryIdentity,scripts/submoduleUrlIdentity.ts,62,no,
identity,repositoryIdentitiesMatch,matchRepositoryIdentities,scripts/submoduleUrlIdentity.ts,105,no,
identity,resolutionRequired,buildResolutionRequired,scripts/submoduleUrlIdentity.ts,109,no,
identity,resolveSubmoduleUpstreamIdentity,resolveSubmoduleUpstreamIdentity,scripts/submoduleUrlIdentity.ts,113,no,
identity,identityToMapKey,formatIdentityKey,scripts/logicalRepository.ts,19,no,
identity,digestOccurrenceIds,digestOccurrenceIds,scripts/logicalRepository.ts,23,no,
identity,buildLogicalRepositoryFromGroup,buildLogicalRepositoryFromGroup,scripts/logicalRepository.ts,28,no,
identity,buildLogicalRepositories,buildLogicalRepositories,scripts/logicalRepository.ts,49,no,
branches,collectRepositorySources,collectRepositorySources,scripts/repositoryBranches.ts,27,no,
branches,createBranchInEveryRepository,createBranchInEveryRepository,scripts/repositoryBranches.ts,49,no,
branches,validateOccurrencesReadyForBranching,validateOccurrencesReadyForBranching,scripts/operationBranches.ts,21,no,
branches,operationBranchName,buildOperationBranchName,scripts/operationBranches.ts,37,no,
branches,branchOid,readBranchOid,scripts/operationBranches.ts,42,no,
branches,ensureOperationBranchAtOid,ensureOperationBranchAtOid,scripts/operationBranches.ts,50,no,
branches,setUpOperationBranches,setUpOperationBranches,scripts/operationBranches.ts,63,no,
branches,sanitizeSegment,sanitizeSegment,scripts/occurrenceBranchNames.ts,7,no,
branches,sanitizeOccurrencePath,sanitizeOccurrencePath,scripts/occurrenceBranchNames.ts,12,no,
branches,collisionHash,computeCollisionHash,scripts/occurrenceBranchNames.ts,16,no,
branches,occurrenceBranchNames,buildOccurrenceBranchNames,scripts/occurrenceBranchNames.ts,20,no,
branches,listLocalBranchTips,listLocalBranchTips,scripts/baseBranchResolution.ts,8,no,
branches,resolveBaseBranchCandidates,resolveBaseBranchCandidates,scripts/baseBranchResolution.ts,27,no,
branches,normalizeMemberOrder,sortMembersByOccurrenceId,scripts/baseReconciliation.ts,9,no,
branches,findUnanimousChoice,findUnanimousChoice,scripts/baseReconciliation.ts,13,no,
branches,checkBaseReconciliation,checkBaseReconciliation,scripts/baseReconciliation.ts,24,no,
branches,assertBaseReconciled,assertBaseReconciled,scripts/baseReconciliation.ts,52,no,
gitlinks,readDirectGitlinks,readDirectGitlinks,scripts/gitlinkReader.ts,9,no,
gitlinks,gitlinkModeAtPath,readGitlinkModeAtPath,scripts/repositoryIntegration.ts,27,no,
gitlinks,substituteGitlink,substituteGitlink,scripts/repositoryIntegration.ts,34,no,
gitlinks,substituteGitlinksRecursively,substituteGitlinksRecursively,scripts/repositoryIntegration.ts,70,no,
gitlinks,parseConflictedPaths,parseConflictedPaths,scripts/repositoryIntegration.ts,88,no,
gitlinks,prepareNoFfMerge,prepareNoFfMerge,scripts/repositoryIntegration.ts,96,no,
gitlinks,readGitlinkOid,readGitlinkOid,scripts/runFinalizer.ts,96,no,
occurrences,buildExcludeSpec,buildExcludeSpec,scripts/occurrenceTreeDelta.ts,57,no,
occurrences,parseRawDiffLine,parseRawDiffLine,scripts/occurrenceTreeDelta.ts,61,no,
occurrences,classify,classifyChangeKind,scripts/occurrenceTreeDelta.ts,75,no,
occurrences,toTreeChange,buildTreeChange,scripts/occurrenceTreeDelta.ts,84,no,
occurrences,buildDigest,computeSnapshotDigest,scripts/occurrenceTreeDelta.ts,131,no,
occurrences,computeOccurrenceTreeDelta,computeOccurrenceTreeDelta,scripts/occurrenceTreeDelta.ts,139,no,
occurrences,computeTreeDigest,computeTreeDigest,scripts/occurrenceTreeDelta.ts,166,no,
occurrences,computeTreeDelta,computeTreeDelta,scripts/occurrenceTreeDelta.ts,170,no,
occurrences,modeToOctal,convertModeToOctal,scripts/occurrenceSync.ts,13,no,
occurrences,applyTreePatch,applyTreePatch,scripts/occurrenceSync.ts,17,no,
occurrences,validate,validateSyncInputs,scripts/occurrenceSync.ts,56,no,
occurrences,syncOccurrences,syncOccurrences,scripts/occurrenceSync.ts,83,no,
occurrences,toSortedArrays,sortChangedPaths,scripts/occurrenceSync.ts,119,no,
ownership,findLogicalRepository,findLogicalRepository,scripts/ownershipKeys.ts,18,no,
ownership,computeCanonicalOwnershipKey,computeCanonicalOwnershipKey,scripts/ownershipKeys.ts,25,no,
ownership,expandOwnershipEffects,expandOwnershipEffects,scripts/ownershipKeys.ts,33,no,
ownership,expandTaskPathEffects,expandTaskPathEffects,scripts/ownershipKeys.ts,53,no,
ownership,pairRenames,matchRenamePairs,scripts/ownershipSnapshots.ts,67,no,
ownership,diffSnapshots,diffSnapshots,scripts/ownershipSnapshots.ts,81,no,
ownership,attributeOccurrence,reattributeOccurrence,scripts/ownershipSnapshots.ts,116,no,
ownership,isCovered,checkPathCovered,scripts/ownershipSnapshots.ts,132,no,
ownership,checkOwnership,checkOwnership,scripts/ownershipSnapshots.ts,137,no,
ownership,checkGroupBoundary,checkGroupBoundary,scripts/ownershipSnapshots.ts,148,no,
runs,discoverStartupState,discoverStartupState,scripts/runStartup.ts,18,no,
runs,confirmTestHookEnabled,confirmTestHookEnabled,scripts/runStartup.ts,40,no,
runs,runGatedMutatingSteps,runGatedMutatingSteps,scripts/runStartup.ts,66,no,
runs,runStartup,runStartup,scripts/runStartup.ts,94,no,
runs,issueRunAuthorization,issueRunAuthorization,scripts/runAuthorization.ts,8,no,
runs,isRunAuthorizationToken,checkRunAuthorizationToken,scripts/runAuthorization.ts,12,no,
runs,runFinalization,runFinalization,scripts/runAuthorization.ts,16,no,
runs,validateRunAuthorization,DELETE-wraps-runFinalization,scripts/runConsolidation.ts,172,yes,scripts/runAuthorization.ts:16
refs,recoveryRefName,buildRecoveryRefName,scripts/recoveryRefs.ts,15,no,
refs,branchRefFor,buildOccurrenceBranchRef,scripts/runConsolidation.ts,68,no,
refs,buildOperationBranchRef,buildOperationBranchRef,scripts/runConsolidation.ts,108,no,
refs,(inline),buildFinalizeRefs,scripts/runFinalizer.ts,153,no,
refs,moveRefFastForward,moveRefFastForward,scripts/runConsolidation.ts,112,no,
finalization,stageChange,stageChange,scripts/runFinalizer.ts,52,no,
finalization,assertNoGitlinkChanges,assertNoGitlinkChanges,scripts/runFinalizer.ts,64,no,
finalization,commitOwnFileChanges,commitOwnFileChanges,scripts/runFinalizer.ts,74,no,
finalization,topologicallySortChildFirst,topologicallySortChildFirst,scripts/runFinalizer.ts,104,no,
finalization,buildAssemblyBranch,buildAssemblyBranch,scripts/runFinalizer.ts,133,no,
finalization,finalizeOccurrence,finalizeOccurrence,scripts/runFinalizer.ts,158,no,
finalization,runFinalizer,runFinalizer,scripts/runFinalizer.ts,195,no,
consolidation,sortParticipatingBranches,sortParticipatingBranches,scripts/runConsolidation.ts,59,no,
consolidation,fetchBranchIntoCanonicalRepo,fetchBranchIntoCanonicalRepo,scripts/runConsolidation.ts,72,no,
consolidation,foldMergeParticipatingBranches,foldMergeParticipatingBranches,scripts/runConsolidation.ts,77,no,
consolidation,getTreeOidForCommit,readTreeOidForCommit,scripts/runConsolidation.ts,98,no,
consolidation,computeExpectedTreeOid,computeExpectedTreeOid,scripts/runConsolidation.ts,102,no,
consolidation,consolidateLogicalRepository,consolidateLogicalRepository,scripts/runConsolidation.ts,117,no,
consolidation,consolidateRun,consolidateRun,scripts/runConsolidation.ts,176,no,
recovery,snapshotWorkingTreeToTree,snapshotWorkingTree,scripts/recoveryRefs.ts,25,no,
recovery,snapshotRepoRecursively,snapshotRepoRecursively,scripts/recoveryRefs.ts,37,no,
recovery,writeRecoverySnapshot,writeRecoverySnapshot,scripts/recoveryRefs.ts,51,no,
recovery,snapshotWorkerRecovery,snapshotWorkerRecovery,scripts/recoveryRefs.ts,62,no,
recovery,snapshotSyncRecovery,snapshotSyncRecovery,scripts/recoveryRefs.ts,66,no,
receipts,buildSyncReceipt,buildSyncReceipt,scripts/syncReceipts.ts,20,no,
receipts,serializeSyncReceipt,serializeSyncReceipt,scripts/syncReceipts.ts,29,no,
receipts,parseSyncReceipt,parseSyncReceipt,scripts/syncReceipts.ts,33,no,
receipts,treeEntryKey,formatTreeEntryKey,scripts/syncVerification.ts,60,no,
receipts,assertTreesMatch,assertTreesMatch,scripts/syncVerification.ts,64,no,
receipts,verifyBranches,verifyBranches,scripts/syncVerification.ts,79,no,
receipts,verifyRelatedTests,verifyRelatedTests,scripts/syncVerification.ts,91,no,
receipts,verifyCompleteSuites,verifyCompleteSuites,scripts/syncVerification.ts,108,no,
receipts,verifySync,verifySync,scripts/syncVerification.ts,126,no,
receipts,persistGreenReceipt,persistGreenReceipt,scripts/syncVerification.ts,149,no,
resolutions,createResolutionRequestId,createResolutionRequestId,scripts/resolutionRequests.ts,43,no,
resolutions,createEmptyResolutionManifest,createEmptyResolutionManifest,scripts/resolutionRequests.ts,48,no,
resolutions,createResolutionRequest,createResolutionRequest,scripts/resolutionRequests.ts,57,no,
resolutions,createBaseReconciliationRequest,createBaseReconciliationRequest,scripts/resolutionRequests.ts,72,no,
resolutions,recordResolutionRequest,recordResolutionRequest,scripts/resolutionRequests.ts,84,no,
resolutions,recordBaseReconciliationRequest,recordBaseReconciliationRequest,scripts/resolutionRequests.ts,90,no,
resolutions,hasResolutionAnswer,checkResolutionAnswer,scripts/resolutionRequests.ts,104,no,
resolutions,needsResolutionRequest,checkResolutionRequestNeeded,scripts/resolutionRequests.ts,108,no,
resolutions,applyResolutionAnswers,applyResolutionAnswers,scripts/resolutionRequests.ts,117,no,
resolutions,hasBaseReconciliationAnswer,checkBaseReconciliationAnswer,scripts/resolutionRequests.ts,140,no,
resolutions,applyBaseReconciliationAnswers,applyBaseReconciliationAnswers,scripts/resolutionRequests.ts,144,no,
worktrees,mergeGroupBranchIntoRepo,mergeGroupBranchIntoRepo,scripts/mergeTaskWorktrees.ts,38,no,
worktrees,resolveGitlinkConflicts,resolveGitlinkConflicts,scripts/mergeTaskWorktrees.ts,57,no,
worktrees,mergeSubmoduleBranchIntoRepo,mergeSubmoduleBranchIntoRepo,scripts/mergeTaskWorktrees.ts,74,no,
worktrees,removeWorktreeAndBranch,removeWorktreeAndBranch,scripts/mergeTaskWorktrees.ts,94,no,
worktrees,selectRequestedTasks,selectRequestedTasks,scripts/prepareTasks.ts,41,no,
worktrees,generateRunId,generateRunId,scripts/prepareTasks.ts,66,no,
worktrees,mergeScriptPath,resolveMergeScriptPath,scripts/prepareTasks.ts,70,no,
worktrees,branchNameForGroup,buildBranchNameForGroup,scripts/prepareTasks.ts,74,no,
worktrees,writeTaskBriefFile,writeTaskBriefFile,scripts/prepareTasks.ts,82,no,
worktrees,initializeSubmodulesInWorktree,initializeSubmodulesInWorktree,scripts/prepareTasks.ts,102,no,
worktrees,createWorktreeForGroup,createWorktreeForGroup,scripts/prepareTasks.ts,111,no,
worktrees,buildWorkflowArguments,buildWorkflowArguments,scripts/prepareTasks.ts,134,no,
worktrees,(none),listTaskWorktrees,(new),,no,
worktrees,(none),findUnmergedTaskWorktrees,(new),,no,
hooks,(inline),readHookInput,scripts/session-end-cleanup.ts,22,yes,scripts/stage-and-summarize-stop.ts:7;scripts/turn-modified-flag.ts:7;scripts/reflow-comments-post.ts:5;scripts/relatedTests.ts:152
hooks,(inline),readHookInput,scripts/stage-and-summarize-stop.ts,7,yes,scripts/session-end-cleanup.ts:22
hooks,(inline),readHookInput,scripts/turn-modified-flag.ts,7,yes,scripts/session-end-cleanup.ts:22
hooks,(inline),readHookInput,scripts/reflow-comments-post.ts,5,yes,scripts/session-end-cleanup.ts:22
hooks,(inline),readHookInput,scripts/relatedTests.ts,152,yes,scripts/session-end-cleanup.ts:22
hooks,emitReflows,emitHookDecision,scripts/reflowComments.ts,187,no,
hooks,pruneFilesOlderThanSevenDays,pruneStaleSessionFiles,scripts/session-end-cleanup.ts,7,no,
hooks,isHookOverrideRequested,checkHookOverrideRequested,scripts/hookOverride.ts,13,no,DEAD-no-production-importer
hooks,recordHookOverrideInManifest,recordHookOverrideInManifest,scripts/hookOverride.ts,18,no,DEAD-no-production-importer
hooks,assertHookOverrideOrStopStartup,assertHookOverrideOrStopStartup,scripts/hookOverride.ts,27,no,DEAD-no-production-importer
hooks,runCompleteSuitesBeforeApproval,runCompleteSuitesBeforeApproval,scripts/hookOverride.ts,34,no,DEAD-no-production-importer
hooks,blockApprovalOnSuiteFailure,blockApprovalOnSuiteFailure,scripts/hookOverride.ts,43,no,DEAD-no-production-importer
reflow,looksLikeCode,checkLooksLikeCode,scripts/reflowComments.ts,28,no,
reflow,startsNewRun,checkStartsNewRun,scripts/reflowComments.ts,41,no,
reflow,joinBodies,joinBodies,scripts/reflowComments.ts,45,no,
reflow,runIsProse,checkRunIsProse,scripts/reflowComments.ts,49,no,
reflow,reflowBlock,reflowBlock,scripts/reflowComments.ts,58,no,
reflow,reflowSource,reflowCommentSource,scripts/reflowComments.ts,101,no,
reflow,showCommand,buildShowCommand,scripts/reflowComments.ts,150,no,
reflow,overCapLines,findOverCapLines,scripts/reflowComments.ts,154,no,
reflow,needsRewrite,checkNeedsRewrite,scripts/reflowComments.ts,157,no,
reflow,describeReflows,describeReflows,scripts/reflowComments.ts,160,no,
reflow,reflowFile,reflowFile,scripts/reflowComments.ts,179,no,
reflow,readTrimmedLineTexts,readTrimmedLineTexts,scripts/reflowQuota.ts,12,no,
reflow,loadQuotaState,loadQuotaState,scripts/reflowQuota.ts,17,no,
reflow,filterBlockingLines,filterBlockingLines,scripts/reflowQuota.ts,26,no,
reflow,applyQuota,applyQuota,scripts/reflowQuota.ts,39,no,
tests,extractEditedFiles,extractEditedFiles,scripts/relatedTests.ts,36,no,
tests,toRootRelativePath,resolveRootRelativePath,scripts/relatedTests.ts,50,no,
tests,findTestFile,findTestFile,scripts/relatedTests.ts,58,no,
tests,groupEditsByOccurrence,groupEditsByOccurrence,scripts/relatedTests.ts,80,no,
tests,runOccurrenceTests,runOccurrenceTests,scripts/relatedTests.ts,110,no,
tests,runRelatedTests,runRelatedTests,scripts/relatedTests.ts,135,no,
tests,readPackageScripts,readPackageScripts,scripts/testPolicy.ts,28,no,
tests,runScriptCommand,buildScriptCommand,scripts/testPolicy.ts,44,no,
tests,resolveWithAnswerOrRequest,resolveWithAnswerOrRequest,scripts/testPolicy.ts,48,no,
tests,discoverTestPolicy,discoverTestPolicy,scripts/testPolicy.ts,64,no,
cli,(module body),checkBlockers,scripts/checkBlockers.ts,1,no,
cli,(module body),getTaskDetails,scripts/getTaskDetails.ts,1,no,
cli,(module body),getUnblockedTaskNumbers,scripts/getUnblockedTaskNumbers.ts,1,no,DEAD-reads-files-never-prints
cli,(module body),nextTaskNumber,scripts/nextTaskNumber.ts,1,no,
cli,(module body),unblockDependents,scripts/unblockDependents.ts,1,no,
cli,(module body),viewTaskHook,scripts/viewTaskHook.ts,1,no,
cli,(module body),archiveProcessed,scripts/archiveProcessed.ts,1,no,
cli,(module body),extractOpenSections,scripts/extractOpenSections.ts,31,no,
cli,(entry guard),taskStats,scripts/taskStats.ts,104,no,
cli,runAsCli,prepareTasks,scripts/prepareTasks.ts,155,no,
cli,runAsCli,mergeTaskWorktrees,scripts/mergeTaskWorktrees.ts,99,no,
cli,main,relatedTests,scripts/relatedTests.ts,151,no,
cli,(module body),sessionEndCleanup,scripts/session-end-cleanup.ts,22,no,
cli,(module body),stageAndSummarizeStop,scripts/stage-and-summarize-stop.ts,7,no,
cli,(module body),turnModifiedFlag,scripts/turn-modified-flag.ts,7,no,
cli,(module body),reflowCommentsPost,scripts/reflow-comments-post.ts,5,no,
